Primary_Name,Galaxy,Magnitude,RA_deg,DEC_deg,Angular_Size,Distance from Earth (Mpc),Distance_Modulus,Aliases
Draco II,Draco II,15.87,238.1983,64.5653,,0.0214927577194,16.661460715307193,"['Draco II', 'Dra II', 'Laevens 4']"
Tuc III,Tucana III,15.5,359.15,-59.6,,0.0229031241318,16.799473634550893,"['[DBR2015] DES J2356-5935', 'Tucana III', 'Tuc III']"
Segue 1,Segue 1,13.8,151.7633,16.0736,,0.02299510455,16.8081769424324,"['Segue 1', 'Segue I']"
Hydrus I,Hydrus I,12.49,37.389,-79.3089,,0.02759412546,17.204083172670526,"['Hydrus 1', 'Hydrus I', 'Hyi I']"
UMa II Galaxy,Ursa Major II Dwarf,14.3,132.875,63.13,,0.030046936612,17.389001003936375,"['UMa II Galaxy', 'Ursa Major II Galaxy', 'Ursa Major II Dwarf']"
Tri II,Triangulum II,15.6,33.3225,36.17844,,0.030046936612,17.389001003936375,"['Laevens 2/Triangulum II', 'Lae 2/Tri II', 'Tri II', 'Triangulum II', 'Laevens 2']"
Reticulum II,Reticulum II,14.4,53.9254,-54.0492,,0.031273342188,17.475871484283488,"['[BDB2015] DES J0335.6-5403', 'Reticulum II', 'Ret II']"
Pic II,Pictor II,15.1,101.18,-59.897,,0.045070404918,18.269457299214785,"['Pic II', 'Pictor II', 'MagLiteS J0644-5953']"
Tuc IV,Tucana IV,14.9,0.73,-60.85,,0.048136418858,18.412368887520067,"['[DBR2015] DES J0002-6051', 'Tucana IV', 'Tuc IV']"
Tuc II,Tucana II,15.0,342.9796,-58.5689,,0.057027859284,18.780435346563483,"['[BDB2015] DES J2251.2-5836', 'Tucana II', 'Tuc II']"
Bootes Dwarf Spheroidal Galaxy,Boötes I,13.1,210.0,14.5,26.233299255371097,0.060400474618,18.905201756281865,"['Bootes dSph Galaxy', 'Bootes Satellite', 'Bootes Dwarf Galaxy', 'Bootes Dwarf Spheroidal Galaxy', 'Bootes I', 'Boo dSph']"
Eridanus IV,Eridanus IV,14.72,76.438,-9.515,,0.0766503485,19.422570668834087,"['Eri IV', 'Eridanus IV']"
Horologium II,Horologium II,16.9,49.1338,-50.0181,,0.077876754076,19.45703920857359,"['Horologium II', 'Hor II']"
Pegasus IV,Pegasus IV,15.52,328.539,26.62,,0.090140809836,19.774607277534688,['Pegasus IV']
Reticulum III,Reticulum III,16.51,56.36,-60.45,,0.0919804182,19.818476899072213,"['[DBR2015] DES J0345-6026', 'Reticulum III', 'Ret III']"
Bootes V Dwarf Galaxy,Boötes V,16.84,213.9108,32.9111,0.0010657019447535,0.102098264202,20.0450917930055,"['Bootes V', 'DELVE J1415+3254', 'Bootes V Dwarf Galaxy']"
Aquarius 2,Aquarius II,15.8,338.4813,-9.3274,10.199999809265137,0.1078930305486,20.16496695964986,"['Aquarius 2', 'Aquarius II']"
Grus I,Grus I,17.0,344.1765,-50.1633,,0.119881145054,20.393754412453234,['Grus I']
Pisces II,Pisces II,17.03,344.6292,5.9525,,0.183041032218,21.312742281120745,"['Psc II', 'Pisces II']"
Col I,Columba I,17.11,82.86,-28.03,,0.183041032218,21.312742281120745,"['[DBR2015] DES J0531-2801', 'Columba I', 'Col I']"
Bootes IV,Boötes IV,17.07,233.689,43.726,15.199999809265137,0.209102150708,21.601792498756296,"['HSCS J153445+434300', 'Bootes IV']"
Pegasus III,Pegasus III,17.5,336.0942,5.42,3.0,0.214927577194,21.661460715307193,"['Pegasus III', 'Peg III']"
Leo T,Leo T Dwarf,16.0,143.7225,17.0514,,0.4139118819,23.084539467948932,"['AGC 198305', 'Leo T', 'LEDA 4713564', 'Leo T Dwarf', 'Leo T dSph']"
NGC 185,NGC 185,9.99,9.74141667751,48.33750996518,11.479999542236328,0.6285328577,23.991639930752672,"['Gaia DR3 390508257732742144', 'IRAS 00362+4803', 'LEDA 2329', 'MCG+08-02-010', 'NGC 185', 'UGC 396', 'Z 550-9', '[M98c] 003612.0+480350', '2MASX J00385796+4820145', '[CHM2007] LDC 31 J003857.96+4820145', 'Z 0036.2+4803', '[VV2003c] J003857.4+482014', '[VV2006] J003857.4+482014', 'UZC J003857.7+482014', '[VV2010] J003857.4+482014', 'TYC 3253-693-1']"
Andromeda II,Andromeda II,11.7,19.1242,33.4192,10.359000205993652,0.6806550946800001,24.164635497727097,"['And II', 'LEDA 4601', 'Andromeda II', '[KK98a] 12', '[KK98a] 011341.9+330920']"
Andromeda XVII,Andromeda XVII,16.6,9.2792,44.3222,,0.7269519051740001,24.30752839536484,"['And XVII', 'LEDA 4608690', 'Andromeda XVII']"
Andromeda XXV,Andromeda XXV,15.3,7.5371,46.8519,,0.736149946994,24.33483142575904,"['And XXV', 'Andromeda XXV', 'LEDA 5057228']"
Andromeda XX,Andromeda XX,18.0,1.87792,35.13233,,0.741055569298,24.34925387751215,"['And XX', 'LEDA 5056920', 'Andromeda XX']"
Andromeda XXIII,Andromeda XXIII,14.6,22.3408,38.7189,,0.7481074013600001,24.369819757167548,"['And XXIII', 'Andromeda XXIII', 'LEDA 5057226']"
Andromeda III,Andromeda III,14.4,8.8908,36.4978,4.21999979019165,0.7511734153000001,24.378701047296563,"['And III', 'Anon 0032+36', 'LEDA 2121', 'Andromeda III', '[KK98a] 5', '[KK98a] 003252.7+361321']"
Andromeda XXVI,Andromeda XXVI,18.5,5.94,47.9161,,0.7539328278460001,24.386663269167485,"['And XXVI', 'Andromeda XXVI', 'LEDA 5057229']"
Andromeda XV,Andromeda XV,16.0,18.5779,38.1175,1.9390000104904177,0.7603714571200001,24.405129029604986,"['And XV', 'Andromeda XV', 'LEDA 5056926']"
Andromeda V,Andromeda V,16.67,17.5713,47.6281,2.7739999294281006,0.7726355128800001,24.43987332938162,"['And V', 'Andromeda V', 'LEDA 3097824']"
M 31,Andromeda,4.17,10.684708,41.26875,199.52999877929688,0.7781543379720001,24.45532871426733,"['SRGA J004241.1+411603', 'PLX 124.00', 'PPM 43228', 'HD 3969', 'BD+40 148', 'AG+40 60', 'PLX 124', '2C 56', 'DA 21', 'GIN 801', 'IRAS F00400+4059', 'IRAS 00400+4059', 'IRC +40013', 'K79 1C', 'LEDA 2557', 'M 31', 'MCG+07-02-016', 'Andromeda', 'Andromeda Galaxy', 'NGC 224', 'RAFGL 104', 'UGC 454', 'XSS J00425+4102', 'Z 535-17', 'Z 0040.0+4100', '[DGW65] 4', '2MASX J00424433+4116074', '[M98c] 004000.1+405943', '[VV2000c] J004244.3+411610', '[VV2003c] J004244.3+411610', '[VV2006] J004244.3+411610', '[VV98c] J004245.1+411622', 'UZC J004244.3+411608', '[VV2010] J004244.3+411610', 'And Nebula', 'Andromeda Nebula', '2MAXI J0043+412', '3FGL J0042.5+4117', '2FGL J0042.5+4114', '4FGL J0043.2+4114']"
Andromeda I,Andromeda I,12.7,11.4158,38.0411,5.920000076293945,0.80022963834,24.516073162165306,"['And I', 'Anon 0043+37', 'LEDA 2666', 'Andromeda I', '[KK98a] 8', '[KK98a] 004256.2+374551']"
Andromeda XXVIII,Andromeda XXVIII,15.85,338.17167,31.21617,,0.81096068713,24.544999007329924,"['And XXVIII', 'Andromeda XXVIII']"
Andromeda XXIX,Andromeda XXIX,16.09,359.7317,30.7556,,0.8290501693760002,24.59290406182189,"['And XXIX', 'Andromeda XXIX']"
Andromeda X,Andromeda X,16.1,16.64042,44.80439,,0.8891440426,24.74486061496868,"['And X', 'LEDA 5056921', 'Andromeda X']"
Andromeda XXIV,Andromeda XXIV,16.3,19.625,46.3661,,0.898035483026,24.766467483881893,"['And XXIV', 'LEDA 5057227', 'Andromeda XXIV']"
Andromeda XII,Andromeda XII,17.7,11.8625,34.3747,,0.928082419638,24.837932730256764,"['And XII', 'Andromeda XII', 'LEDA 5056924']"
