Primary_Name,Galaxy,Magnitude,RA_deg,DEC_deg,Angular_Size,Distance from Earth (Mpc),Distance_Modulus,Aliases
UGCA 86,UGCA 86,13.5,59.95125,67.1385,1.7999999523162842,2.9801655496800006,27.371201950105274,"['[HVG99b] A0355+6659', 'Anon 0355+66', 'BK85 20', 'HIJASS J0400+67', 'IRAS 03547+6657', 'LEDA 14241', 'SPB 56', 'UGCA 86', 'ZW VII 9', '[M98c] 035500.0+665900', '[VDD93] 36', 'ZOAG G139.76+10.65', 'PSCz P03547+6657']"
NGC 1560,NGC 1560,12.16,68.204529,71.883111,9.550000190734863,2.9893635915,27.377893703966585,"['2MFGC 3701', 'FGCA 71A', 'IC 2062', 'IRAS 04271+7146', 'LEDA 15488', 'MCG+12-05-005', 'NGC 1560', 'SPB 62', 'TC 478', 'UGC 3060', 'Z 328-6', '[VDD93] 40', '2MASX J04324908+7152591', '[CHM2007] LDC 264 J043249.08+7152591', '[CHM2007] HDC 296 J043249.08+7152591', 'Z 0427.1+7147', '[M98c] 042708.2+714629', 'UZC J043249.5+715256', 'PSCz Q04271+7146']"
LEDA 101304,Dwingeloo 2,20.5,43.53529,59.00531,,3.0046936612000006,27.389001003936375,"['Dwingeloo 2', 'LEDA 101304']"
LBN 659,Maffei 1,11.4,39.14777595118,59.65486305794,,3.0046936612000006,27.389001003936375,"['Gaia DR3 465045662816213248', '2E 595', 'Anon 0232+59', 'GSC 03699-02055', 'IRAS 02329+5926', 'IRCO 3729', 'LBN 659', 'LBN 135.91-00.56', 'LEDA 9892', 'Maffei 1', 'SH 2-191', 'SPB 32', 'UGCA 34', 'Weinberger 19', 'ZOAG G135.83-00.57', 'ZOAG G135.86-00.55', 'ZOAG G135.87-00.55', '[VDD93] 19', '2MASX J02363546+5939165', '[CHM2007] LDC 264 J023635.46+5939165', '2E 0232.8+5926', '[CHM2007] HDC 173 J023635.46+5939165']"
UGCA 39,Maffei 2,14.77,40.47955,59.604092,,3.005000262594,27.3892225714494,"['WISEA J024155.05+593616.1', 'Anon 0238+59', 'Dwingeloo 136.5-00.3', 'LEDA 10217', 'Maffei 2', 'SH 2-197', 'SPB 35', 'UGCA 39', 'Weinberger 21', 'ZOAG G136.50-00.33', 'ZOAG G136.51-00.33', 'ZOAG G136.50+00.33', '[KSP2003] G136.4978-00.3253', '[VDD93] 20', '2MASX J02415509+5936147', '[CHM2007] LDC 264 J024155.09+5936147', '[CHM2007] HDC 173 J024155.09+5936147', '[KSP2003] J024154.84+593616.6', '[M98c] 023807.9+592324', 'WISE J024155.07+593616.4', 'AKARI-IRC-V1 J0241548+593615', 'AKARI-FIS-V1 J0241537+593632', 'MSX6C G136.4978-00.3252']"
NGC 2403,NGC 2403,8.93,114.21390893095,65.6026807849,10.154000282287598,3.0414858284800004,27.415428986244795,"['Gaia DR3 1089775662767390080', '2E 1830', 'IRAS 07321+6543', 'IRAS 07320+6543', 'IRAS F07320+6543', 'K73 197', 'LEDA 21396', 'MCG+11-10-007', 'NGC 2403', 'SPB 86', 'TC 696', 'UGC 3918', 'Z 0732.0+6543', 'Z 309-40', 'Z 310-3', '[DRM99] 5-17', '[VDD93] 65', '2MASX J07365139+6536091', '[CHM2007] LDC 842 J073651.39+6536091', '2E 0732.1+6542', '[M98c] 073205.5+654240', 'UZC J073651.7+653613', 'PSCz Q07321+6543']"
NGC 404,NGC 404,11.21,17.36259,35.71813,6.0,3.0813440097000004,27.44370093425644,"['2MASX J01092707+3543046', 'EQ 0106+354', 'IRAS 01066+3527', 'IRAS F01066+3527', 'LEDA 4126', 'MCG+06-03-018', 'NGC 404', 'UGC 718', 'Z 520-20', '[VDD93] 5', '[VV98c] J010927.0+354303', '[FWB89] Galaxy 26', 'Z 0106.7+3527', '[VV2000c] J010927.1+354305', '[VV2003c] J010927.1+354305', '[VV2006c] J010927.1+354305', 'UZC J010927.2+354304', 'PSCz Q01066+3527', '[VV2010c] J010927.1+354305']"
NGC 3741,NGC 3741,14.3,174.023974,45.284155,1.0088499784469604,3.1304002327400005,27.47799933590845,"['BTS 35', 'MCG+08-21-068', 'NGC 3741', 'SPB 158', 'UGC 6572', 'Z 242-57', '[MI94] Im 80', 'Z 1133.4+4534', 'UZC J113606.1+451705', 'CASG 1441', 'LEDA 35878', 'SDSS J113605.75+451702.9']"
LEDA 3994669,HIPASS J1247-77,17.0,191.8880526,-77.5830869,,3.161060372140001,27.49916395189148,"['LVHIS 041', 'HIPASS J1247-77', 'LEDA 3994669']"
NGC 2366,NGC 2366,11.43,112.2185538,69.2107941,6.665030002593994,3.1886544976000004,27.518037321967803,"['DDO 42', 'IRAS 07233+6917', 'IRAS F07234+6917', 'KPG 133b', 'LEDA 21102', 'MCG+12-07-040', 'NGC 2366', 'SPB 82', 'TC 87', 'UGC 3851', 'Z 330-38', '[MI94] Im 39', '[VDD93] 63', 'Z 0723.6+6918', '[M98c] 072336.5+691900', 'UZC J072853.7+691254', 'PSCz Q07233+6917']"
